test,type,ID,Title,Conditions,Age,All Conditions?,Tags,DIY Type,Issue,Service Type,Treatment Category,Published,Link
,connect,169,#mentalillnessfeelslike,,"Under 11, 11-17, 18+",x,,,,,,publish,mentalillnessfeelslike
,diy,535,3 Steps to Keep Your Mind Grounded,"ADHD, Anxiety, Borderline, Depression, PTSD, Addiction","Under 11, 11-17, 18+",,,Document,"Anger, Changing Thoughts, Fear, Life & Trauma, Stress",,,publish,3-steps-keep-your-mind-grounded
,diy,532,7 tips for talking to a loved one about their mental health,,"Under 11, 11-17, 18+",x,Caregiver,Document,"Confidence, Life & Trauma",,,publish,7-tips-talking-loved-one-about-their-mental-health
,diy,494,8 of the best meditation apps,"ADHD, Anxiety, Depression, Eating Disorder, PTSD, Sleep, Addiction","Under 11, 11-17, 18+",,,Mobile App,"Anger, Changing Thoughts, Fear, Life & Trauma, Sleep, Stress, The Brain",,,publish,8-best-meditation-apps
,diy,533,8 Steps to Create a Healthy Routine,,"Under 11, 11-17, 18+",x,,Document,"Changing Thoughts, Confidence, Life & Trauma, Sleep, Stress",,,publish,8-steps-create-healthy-routine
,treatment,303,About Peer Supporters,,"Under 11, 11-17, 18+",x,,,,,Social Support,publish,about-peer-supporters
,connect,170,ADAA Online Peer-to-Peer Anxiety and Depression Support Group,"Anxiety, Depression, PTSD","Under 11, 11-17, 18+",,"Caregiver, Parent, Youth, LGBTQ+, BIPOC, Older Adults",,,,,publish,adaa-online-peer-peer-anxiety-and-depression-support-group
,provider,337,Aging Services at MHA South Central Kansas,"Anxiety, Bipolar, Depression, Psychosis, PTSD, Addiction",18+,,Older Adults,,,Community Support,,publish,aging-services-mha-south-central-kansas
,provider,332,Al-Anon,Addiction,"11-17, 18+",,Caregiver,,,"Community Support, Groups, Online, Peer-Run",,publish,al-anon
,provider,333,Alateen,Addiction,"11-17,",,"Caregiver, Youth",,,"Community Support, Groups, Online, Peer-Run",,publish,alateen
,provider,325,Alcoholics Anonymous,Addiction,"11-17, 18+",,,,,"Community Support, Groups, Peer-Run",,publish,alcoholics-anonymous
,connect,606,Alternatives to calling the police in a crisis,,"Under 11, 11-17, 18+",x,Crisis,,,,,publish,alternatives-calling-police-crisis
,condition,286,Am I addicted to pills?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,am-i-addicted-pills
,condition,269,Am I bipolar or just moody?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,am-i-bipolar-or-just-moody
,condition,382,Am I crazy?,,"Under 11, 11-17, 18+",x,,,,,,publish,am-i-crazy
,condition,381,Am I depressed or just sad?,"Bipolar, Depression","Under 11, 11-17, 18+",,,,,,,publish,am-i-depressed-or-just-sad
,diy,178,Antipsychotic Side-effects Checklist (ASC),"Bipolar, Depression, Psychosis, Sleep","Under 11, 11-17, 18+",,,Other,"Fear, The Brain",,,draft,antipsychotic-side-effects-checklist-asc
,treatment,247,Antipsychotics,"Bipolar, Psychosis, Tardive Dyskinesia","Under 11, 11-17, 18+",,,,,,Medical,publish,antipsychotics
,diy,550,Apoyando a los demÃ¡s,,"Under 11, 11-17, 18+",,"Caregiver, Español/Spanish",Document,"Confidence, Life & Trauma",,,publish,apoyando-los-demas
,provider,578,Appalachian Mountain Project Access,,"Under 11, 11-17, 18+",x,,,,"Community Support, Groups, Medical, Online, Peer-Run, Therapy",,publish,appalachian-mountain-project-access
,condition,156,Are there different types of eating disorders?,Eating Disorder,"Under 11, 11-17, 18+",,,,,,,publish,are-there-different-types-eating-disorders
,condition,204,Are there successful people who live with bipolar?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,are-there-successful-people-who-live-bipolar
,condition,285,Are there types of anxiety?,"Anxiety, PTSD, OCD","Under 11, 11-17, 18+",,,,,,,publish,are-there-types-anxiety
,condition,127,Are there types of bipolar?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,are-there-types-bipolar
,condition,442,Are there types of depression?,"Depression, Postpartum Depression, Bipolar","Under 11, 11-17, 18+",,,,,,,publish,are-there-types-depression
,diy,399,"Assess, Screen and Train Your Brain to Improve Mental Health",,"Under 11, 11-17, 18+",x,,"Website, Mobile App","Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Sleep, Stress, The Brain",,,publish,assess-screen-and-train-your-brain-improve-mental-health
,treatment,248,Atypical Antidepressants,"ADHD, Bipolar, Depression, Postpartum Depression, Sleep, PTSD","Under 11, 11-17, 18+",,,,,,Medical,publish,atypical-antidepressants
,treatment,249,Atypical Antipsychotics,"Anxiety, Bipolar, Depression, Eating Disorder, Psychosis, Tardive Dyskinesia, PTSD","Under 11, 11-17, 18+",,,,,,Medical,publish,atypical-antipsychotics
,diy,179,Back to School Checklist,,"Under 11, 11-17, 18+",,"Parent, Youth",Document,Confidence,,,draft,back-school-checklist
,provider,579,Beersheba Springs Medical Clinic,,"Under 11, 11-17, 18+",x,,,,Community Support,,publish,beersheba-springs-medical-clinic
,provider,580,Benton Family Healthcare Center,,"Under 11, 11-17, 18+",x,,,,Community Support,,publish,benton-family-healthcare-center
,treatment,262,Benzodiazepines,"Anxiety, Sleep","Under 11, 11-17, 18+",,,,,,Medical,publish,benzodiazepines
,provider,599,Bradford Health Services - Cordes Circle,,"Under 11, 11-17, 18+",x,,,,Community Support,,publish,bradford-health-services-cordes-circle
,provider,581,Bradford Health Services - Donelson Pike,,"Under 11, 11-17, 18+",x,,,,Community Support,,publish,bradford-health-services-donelson-pike
,provider,600,Bradford Health Services - Dunbar Cave Rd,,"Under 11, 11-17, 18+",x,,,,Community Support,,publish,bradford-health-services-dunbar-cave-rd
,provider,582,Bradford Health Services - McArthur St,,"Under 11, 11-17, 18+",x,,,,Community Support,,publish,bradford-health-services-mcarthur-st
