"Participant Identifier","Time Spent on Thoughts","Number of Thoughts Started","Number of Responses Answered","Number of Logins","Day of first login","Day of most recent login","Time on site","Number of ""I relates"" received","Number of ""flags"" received"
c9ea290836b4597a437c0d5acb399e2a_4,00:00:32,2,6,N/A,N/A,N/A,N/A,0,0
c9ea290836b4597a437c0d5acb399e2a_4,00:00:32,2,6,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_4,00:00:29,9,41,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_2,05:18:26,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
990334d1bee3a2b6b5ef7de7d84fd8b3_28,05:09:04,1,9,1,"2021-01-12 02:15:38","2021-01-12 02:15:38",00:00:01,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_4,00:00:27,9,41,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_4,00:00:27,9,41,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_24,00:00:46,2,18,1,"2021-01-12 00:51:52","2021-01-12 00:51:52",00:00:08,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_4,00:00:41,9,41,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_4,00:00:38,9,41,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_24,00:02:04,2,18,1,"2021-01-12 00:51:52","2021-01-12 00:51:52",00:00:08,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_2,06:02:23,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
990334d1bee3a2b6b5ef7de7d84fd8b3_2,06:29:05,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
990334d1bee3a2b6b5ef7de7d84fd8b3_2,06:29:05,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
990334d1bee3a2b6b5ef7de7d84fd8b3_2,06:29:05,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
990334d1bee3a2b6b5ef7de7d84fd8b3_2,06:29:05,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
990334d1bee3a2b6b5ef7de7d84fd8b3_2,06:29:05,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
990334d1bee3a2b6b5ef7de7d84fd8b3_2,06:29:05,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
f3e2944db63b5569a9a3001efbe1067d_4,06:29:05,1,1,N/A,N/A,N/A,N/A,0,0
9407c82cdb408a65562547b824d01de1_4,00:04:11,2,10,N/A,N/A,N/A,N/A,0,0
9407c82cdb408a65562547b824d01de1_21,00:02:16,3,4,2,"2021-01-07 07:21:21","2021-01-07 07:21:29",00:00:08,1,0
9407c82cdb408a65562547b824d01de1_4,00:02:54,2,10,N/A,N/A,N/A,N/A,0,0
2d6b611c65882796f28e985cb70230d1_19,00:11:10,3,12,1,"2021-01-06 17:46:02","2021-01-06 17:46:02",10:54:50,1,0
3ef297cc948fb3c387acd39154931333_4,00:08:23,7,47,N/A,N/A,N/A,N/A,6,0
3ef297cc948fb3c387acd39154931333_4,00:07:59,7,47,N/A,N/A,N/A,N/A,6,0
3ef297cc948fb3c387acd39154931333_4,00:07:50,7,47,N/A,N/A,N/A,N/A,6,0
3ef297cc948fb3c387acd39154931333_4,00:07:27,7,47,N/A,N/A,N/A,N/A,6,0
3ef297cc948fb3c387acd39154931333_4,00:07:27,7,47,N/A,N/A,N/A,N/A,6,0
3ef297cc948fb3c387acd39154931333_4,00:07:27,7,47,N/A,N/A,N/A,N/A,6,0
3ef297cc948fb3c387acd39154931333_4,00:07:27,7,47,N/A,N/A,N/A,N/A,6,0
903512b76381df8f1bb5a4bf160a00b4_4,00:06:48,9,13,N/A,N/A,N/A,N/A,0,0
903512b76381df8f1bb5a4bf160a00b4_4,00:01:30,9,13,N/A,N/A,N/A,N/A,0,0
903512b76381df8f1bb5a4bf160a00b4_4,00:01:30,9,13,N/A,N/A,N/A,N/A,0,0
903512b76381df8f1bb5a4bf160a00b4_4,00:01:30,9,13,N/A,N/A,N/A,N/A,0,0
903512b76381df8f1bb5a4bf160a00b4_4,00:01:30,9,13,N/A,N/A,N/A,N/A,0,0
903512b76381df8f1bb5a4bf160a00b4_4,00:01:30,9,13,N/A,N/A,N/A,N/A,0,0
903512b76381df8f1bb5a4bf160a00b4_4,00:01:30,9,13,N/A,N/A,N/A,N/A,0,0
903512b76381df8f1bb5a4bf160a00b4_4,00:01:30,9,13,N/A,N/A,N/A,N/A,0,0
903512b76381df8f1bb5a4bf160a00b4_4,00:01:30,9,13,N/A,N/A,N/A,N/A,0,0
18b1c8beab109369b64edef0ed550701_4,00:04:01,3,20,N/A,N/A,N/A,N/A,1,0
18b1c8beab109369b64edef0ed550701_4,00:05:31,3,20,N/A,N/A,N/A,N/A,1,0
18b1c8beab109369b64edef0ed550701_4,00:11:33,3,20,N/A,N/A,N/A,N/A,1,0
2d6b611c65882796f28e985cb70230d1_19,00:11:24,3,12,1,"2021-01-06 17:46:02","2021-01-06 17:46:02",10:54:50,1,0
7574ec69d73432e56cf9216412ee4527_4,00:11:24,1,1,N/A,N/A,N/A,N/A,0,0
378aa256bf89a34ce3ffc70f18551f95_4,00:11:24,1,1,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_2,05:30:04,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
990334d1bee3a2b6b5ef7de7d84fd8b3_2,06:29:05,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
990334d1bee3a2b6b5ef7de7d84fd8b3_4,05:38:56,9,41,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_4,00:00:27,9,41,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_4,00:00:27,9,41,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_4,00:00:27,9,41,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_2,04:29:30,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
502d2cecbe401d27b157287102b6d593_4,,4,4,N/A,N/A,N/A,N/A,0,0
502d2cecbe401d27b157287102b6d593_4,,4,4,N/A,N/A,N/A,N/A,0,0
502d2cecbe401d27b157287102b6d593_4,,4,4,N/A,N/A,N/A,N/A,0,0
502d2cecbe401d27b157287102b6d593_4,,4,4,N/A,N/A,N/A,N/A,0,0
